sample	target	treat	input	replicate
SRR8315174	AR	E2	SRR8315192	1
SRR8315175	AR	E2	SRR8315192	2
SRR8315176	AR	E2	SRR8315192	3
SRR8315177	AR	E2DHT	SRR8315192	1
SRR8315178	AR	E2DHT	SRR8315192	2
SRR8315179	AR	E2DHT	SRR8315192	3
SRR8315180	ER	E2	SRR8315192	1
SRR8315181	ER	E2	SRR8315192	2
SRR8315182	ER	E2	SRR8315192	3
SRR8315183	ER	E2DHT	SRR8315192	1
SRR8315184	ER	E2DHT	SRR8315192	2
SRR8315185	ER	E2DHT	SRR8315192	3
SRR8315186	H3K27ac	E2	SRR8315192	1
SRR8315187	H3K27ac	E2	SRR8315192	2
SRR8315188	H3K27ac	E2	SRR8315192	3
SRR8315189	H3K27ac	E2DHT	SRR8315192	1
SRR8315190	H3K27ac	E2DHT	SRR8315192	2
SRR8315191	H3K27ac	E2DHT	SRR8315192	3
