fl	sample	correlation
1	SRR8315174	7.971082354562162e-4
1	SRR8315175	0.0010952597478074138
1	SRR8315176	5.937751515938157e-4
1	SRR8315177	0.002121531711944401
1	SRR8315178	0.001788424527868458
1	SRR8315179	0.001489234432416522
2	SRR8315174	6.948349867799226e-4
2	SRR8315175	9.545627864692522e-4
2	SRR8315176	5.957536836853359e-4
2	SRR8315177	0.002141205713316115
2	SRR8315178	0.0017542759471492967
2	SRR8315179	0.0013661622029536558
3	SRR8315174	6.886879158099005e-4
3	SRR8315175	9.945202143341336e-4
3	SRR8315176	4.931462245258326e-4
3	SRR8315177	0.002217510280716411
3	SRR8315178	0.0017930614002196789
3	SRR8315179	0.0013670705690615019
4	SRR8315174	6.925859060884368e-4
4	SRR8315175	9.447000493529862e-4
4	SRR8315176	5.787751066583487e-4
4	SRR8315177	0.002202609424243833
4	SRR8315178	0.0018041522638425197
4	SRR8315179	0.0013460215314892432
5	SRR8315174	6.851532875326658e-4
5	SRR8315175	9.908371064450531e-4
5	SRR8315176	6.166629760105929e-4
5	SRR8315177	0.0021038054850525153
5	SRR8315178	0.001810295034978411
5	SRR8315179	0.0014095326352362462
6	SRR8315174	7.199798335346201e-4
6	SRR8315175	9.835315110141405e-4
6	SRR8315176	5.61797206575952e-4
6	SRR8315177	0.0022070363816858118
6	SRR8315178	0.001880789397865886
6	SRR8315179	0.001483956186359197
7	SRR8315174	7.361302355507935e-4
7	SRR8315175	9.717114891927219e-4
7	SRR8315176	5.957409653295819e-4
7	SRR8315177	0.00228337391857806
7	SRR8315178	0.001866916307037301
7	SRR8315179	0.0013875372403835433
8	SRR8315174	7.241919200998238e-4
8	SRR8315175	9.815707172176928e-4
8	SRR8315176	5.866718358538925e-4
8	SRR8315177	0.002234925574110059
8	SRR8315178	0.0018127486660744793
8	SRR8315179	0.0014721751129561616
9	SRR8315174	6.777048271002678e-4
9	SRR8315175	9.846593101240767e-4
9	SRR8315176	5.239384996549275e-4
9	SRR8315177	0.002272935009628523
9	SRR8315178	0.0018466285121727084
9	SRR8315179	0.001435907128239539
10	SRR8315174	7.461181595387463e-4
10	SRR8315175	0.0010133723712060863
10	SRR8315176	6.288858958166968e-4
10	SRR8315177	0.0023274204437838497
10	SRR8315178	0.0019238796703000612
10	SRR8315179	0.0014203832050957558
11	SRR8315174	7.412950862902539e-4
11	SRR8315175	0.0010130997634491914
11	SRR8315176	5.779874518710651e-4
11	SRR8315177	0.002361284489738346
11	SRR8315178	0.001866322940658083
11	SRR8315179	0.0014299939141771657
12	SRR8315174	7.448282244339717e-4
12	SRR8315175	9.796020601203883e-4
12	SRR8315176	5.55506322068934e-4
12	SRR8315177	0.0023749073359686517
12	SRR8315178	0.0019017184856921802
12	SRR8315179	0.0014957338934593605
13	SRR8315174	6.861016760508507e-4
13	SRR8315175	0.001039806240624293
13	SRR8315176	6.348110839067151e-4
13	SRR8315177	0.002335620801598347
13	SRR8315178	0.001941754725943895
13	SRR8315179	0.0014827079943014125
14	SRR8315174	6.91577616954057e-4
14	SRR8315175	0.0010094066824923528
14	SRR8315176	5.428654879035906e-4
14	SRR8315177	0.0023302592943351733
14	SRR8315178	0.0019094210738246097
14	SRR8315179	0.001428751246215252
15	SRR8315174	6.893439913028395e-4
15	SRR8315175	0.0010350247523003145
15	SRR8315176	5.677378866477175e-4
15	SRR8315177	0.0024071907186857936
15	SRR8315178	0.0019753187472467057
15	SRR8315179	0.0014548087713660946
16	SRR8315174	8.135470643420435e-4
16	SRR8315175	0.0010085883334536993
16	SRR8315176	5.495760268776822e-4
16	SRR8315177	0.002395795847019696
16	SRR8315178	0.0019275976816792728
16	SRR8315179	0.001553062267325158
17	SRR8315174	7.128809122609785e-4
17	SRR8315175	0.0010536057117338286
17	SRR8315176	5.325964225419942e-4
17	SRR8315177	0.0024591146084416236
17	SRR8315178	0.0019337540613490944
17	SRR8315179	0.0014814512263902199
18	SRR8315174	6.548019867145087e-4
18	SRR8315175	9.587817499041571e-4
18	SRR8315176	5.487977295071275e-4
18	SRR8315177	0.002387885084304756
18	SRR8315178	0.0019953408347326844
18	SRR8315179	0.0015431668038807082
19	SRR8315174	7.345229415278842e-4
19	SRR8315175	0.0010513537425128638
19	SRR8315176	5.531199429746838e-4
19	SRR8315177	0.002457223225629645
19	SRR8315178	0.0020094896348438916
19	SRR8315179	0.0015099651688471978
20	SRR8315174	7.029020233536634e-4
20	SRR8315175	0.0010527544468509396
20	SRR8315176	5.598293662636116e-4
20	SRR8315177	0.0024458217069249096
20	SRR8315178	0.001957438812761511
20	SRR8315179	0.0015372708606602792
21	SRR8315174	7.025595022074311e-4
21	SRR8315175	0.0010251862749104256
21	SRR8315176	5.878441265817818e-4
21	SRR8315177	0.002519629124180489
21	SRR8315178	0.002038101031865045
21	SRR8315179	0.0015403656770595752
22	SRR8315174	7.19680349475182e-4
22	SRR8315175	0.0010626067559573267
22	SRR8315176	5.70092028363006e-4
22	SRR8315177	0.002511727324083988
22	SRR8315178	0.0020288428367666025
22	SRR8315179	0.0015208317204018324
23	SRR8315174	7.071050014506134e-4
23	SRR8315175	0.0010862647529246631
23	SRR8315176	5.586437933540856e-4
23	SRR8315177	0.0026032211344803147
