fl	sample	correlation
1	SRR8315180	0.0013263026178438003
1	SRR8315181	0.001809909749291812
1	SRR8315182	0.0027220032705463724
1	SRR8315183	0.0014481937495698122
1	SRR8315184	0.0024167483730287214
1	SRR8315185	0.0016254247825413842
2	SRR8315180	0.0012668070151418565
2	SRR8315181	0.0017752901397405183
2	SRR8315182	0.002659671397110495
2	SRR8315183	0.001430946133597829
2	SRR8315184	0.0023701027100606637
2	SRR8315185	0.001561142512268582
3	SRR8315180	0.0013498419378870244
3	SRR8315181	0.0019092926546151927
3	SRR8315182	0.0026696549899035095
3	SRR8315183	0.0014772859855922249
3	SRR8315184	0.0024661253854670532
3	SRR8315185	0.0016214600279868666
4	SRR8315180	0.0014120468672247876
4	SRR8315181	0.0017935739980625225
4	SRR8315182	0.0026440817090187464
4	SRR8315183	0.0015239645811786588
4	SRR8315184	0.0024384324805102994
4	SRR8315185	0.0016324911487262577
5	SRR8315180	0.0013733854188081186
5	SRR8315181	0.001886682944450129
5	SRR8315182	0.0027674929495656773
5	SRR8315183	0.0015232461962465587
5	SRR8315184	0.0024387744085465866
5	SRR8315185	0.0016070474843660888
6	SRR8315180	0.001398256002103021
6	SRR8315181	0.0018665200969127005
6	SRR8315182	0.0027319729129166017
6	SRR8315183	0.0015188924990154446
6	SRR8315184	0.0024956051477482643
6	SRR8315185	0.0016486880618009612
7	SRR8315180	0.0014164078575356063
7	SRR8315181	0.0019656073156540488
7	SRR8315182	0.002768717038391115
7	SRR8315183	0.0014928206201940603
7	SRR8315184	0.0024772410055986273
7	SRR8315185	0.0017249627281128443
8	SRR8315180	0.001411724954574302
8	SRR8315181	0.0020061884220052653
8	SRR8315182	0.0028026931025883347
8	SRR8315183	0.0015168313737932205
8	SRR8315184	0.0025434529869384436
8	SRR8315185	0.0017690444783883194
9	SRR8315180	0.0013885195683570376
9	SRR8315181	0.001956170990707774
9	SRR8315182	0.0028382170801038976
9	SRR8315183	0.0015905956059181544
9	SRR8315184	0.0025136878552412235
9	SRR8315185	0.0017372053259458362
10	SRR8315180	0.001518629976624528
10	SRR8315181	0.0020143669217271526
10	SRR8315182	0.0029067800530156716
10	SRR8315183	0.0016487779482948113
10	SRR8315184	0.0025476690571197796
10	SRR8315185	0.0016695031986331786
11	SRR8315180	0.0014688578867485343
11	SRR8315181	0.0020149955186738217
11	SRR8315182	0.0028852702972729945
11	SRR8315183	0.001639280788387888
11	SRR8315184	0.0026747133522412696
11	SRR8315185	0.0017521974944841813
12	SRR8315180	0.0015034938823986596
12	SRR8315181	0.0020596646000915152
12	SRR8315182	0.0029634709549585503
12	SRR8315183	0.0015811060215485673
12	SRR8315184	0.002686740999034743
12	SRR8315185	0.0017797688402544595
13	SRR8315180	0.001566039724107818
13	SRR8315181	0.00198604174317885
13	SRR8315182	0.0029553664189375605
13	SRR8315183	0.0016359349578961978
13	SRR8315184	0.0027053857819117357
13	SRR8315185	0.00179049646307832
14	SRR8315180	0.001529044273582198
14	SRR8315181	0.0021448973991999376
14	SRR8315182	0.0030142412102382838
14	SRR8315183	0.0016555372634034515
14	SRR8315184	0.002638271083615054
14	SRR8315185	0.001767814937354946
15	SRR8315180	0.0015576195283603658
15	SRR8315181	0.0020495905305198767
15	SRR8315182	0.0030354370997626883
15	SRR8315183	0.0016433651846961134
15	SRR8315184	0.002745729758765641
15	SRR8315185	0.0017916972266493135
16	SRR8315180	0.0015976468730371307
16	SRR8315181	0.002115020904997888
16	SRR8315182	0.0030974490125739505
16	SRR8315183	0.0017262322433204743
16	SRR8315184	0.002745392429978549
16	SRR8315185	0.001809153755285146
17	SRR8315180	0.0015213119996873314
17	SRR8315181	0.0021555976558962167
17	SRR8315182	0.0030822128947690266
17	SRR8315183	0.0017252030522675306
17	SRR8315184	0.0027376009220471706
17	SRR8315185	0.0019028503792607612
18	SRR8315180	0.0016087294800041377
18	SRR8315181	0.002173216878451281
18	SRR8315182	0.00309463734931967
18	SRR8315183	0.0016748041687396152
18	SRR8315184	0.0027785603995547047
18	SRR8315185	0.0018633651890644298
19	SRR8315180	0.0015492199377965343
19	SRR8315181	0.002195557663116618
19	SRR8315182	0.003132345582388188
19	SRR8315183	0.0017086402245869896
19	SRR8315184	0.0028146444258365716
19	SRR8315185	0.0019206199385669667
20	SRR8315180	0.0016194935983504589
