fl	sample	correlation
1	SRR8315186	0.059435040447466524
1	SRR8315187	0.06783947767276935
1	SRR8315188	0.06879387027599089
1	SRR8315189	0.06520839639507964
1	SRR8315190	0.06962618748891877
1	SRR8315191	0.06316242007374769
2	SRR8315186	0.05894773964727561
2	SRR8315187	0.06734216069520327
2	SRR8315188	0.06849586626426649
2	SRR8315189	0.06464971001818923
2	SRR8315190	0.06889221247733644
2	SRR8315191	0.06273708858017062
3	SRR8315186	0.05873955001225038
3	SRR8315187	0.06736034980149057
3	SRR8315188	0.06878579405736839
3	SRR8315189	0.06464968947674807
3	SRR8315190	0.06905097225053707
3	SRR8315191	0.06279061118196685
4	SRR8315186	0.059241315586645756
4	SRR8315187	0.06769566487249766
4	SRR8315188	0.06899184802107236
4	SRR8315189	0.06483416481145496
4	SRR8315190	0.06915666029985455
4	SRR8315191	0.06299012623337852
5	SRR8315186	0.05909809254653183
5	SRR8315187	0.06798067488944602
5	SRR8315188	0.06886413207267421
5	SRR8315189	0.06506240275116071
5	SRR8315190	0.0685973532337584
5	SRR8315191	0.06316152286969674
6	SRR8315186	0.05925139965772323
6	SRR8315187	0.06755367917450775
6	SRR8315188	0.06903170991420404
6	SRR8315189	0.06483498293672102
6	SRR8315190	0.06905441530643733
6	SRR8315191	0.06301207442116186
7	SRR8315186	0.059387351799784015
7	SRR8315187	0.06779839508508477
7	SRR8315188	0.0688031118075863
7	SRR8315189	0.06490606497385348
7	SRR8315190	0.06919987784152468
7	SRR8315191	0.06306421112527359
8	SRR8315186	0.05963657372865054
8	SRR8315187	0.0677867941439579
8	SRR8315188	0.0690869960651368
8	SRR8315189	0.06523201143653798
8	SRR8315190	0.0692371045952427
8	SRR8315191	0.06315249933742423
9	SRR8315186	0.059672519822084547
9	SRR8315187	0.06832399318694461
9	SRR8315188	0.06941636169551953
9	SRR8315189	0.0652753124852835
9	SRR8315190	0.06935096633699041
9	SRR8315191	0.06366122907104839
10	SRR8315186	0.05980518189903916
10	SRR8315187	0.06821827368827856
10	SRR8315188	0.0694525684662477
10	SRR8315189	0.06542781786836309
10	SRR8315190	0.06958525912122548
10	SRR8315191	0.06366694322109963
11	SRR8315186	0.059794194568075554
11	SRR8315187	0.06819575765510816
11	SRR8315188	0.0694470700282028
11	SRR8315189	0.06526524989584771
11	SRR8315190	0.06968656492860392
11	SRR8315191	0.06363424030872569
12	SRR8315186	0.05959224818634708
12	SRR8315187	0.0683149671638711
12	SRR8315188	0.06956446082910103
12	SRR8315189	0.0654935719357649
12	SRR8315190	0.06959863193252672
12	SRR8315191	0.0636671117501411
13	SRR8315186	0.059516948731241706
13	SRR8315187	0.06807866519085816
13	SRR8315188	0.0695107088944381
13	SRR8315189	0.06521796823523074
13	SRR8315190	0.06956405845971671
13	SRR8315191	0.06374632478053628
14	SRR8315186	0.05979177604618738
14	SRR8315187	0.06815471653000289
14	SRR8315188	0.06964250208842432
14	SRR8315189	0.06556933269670324
14	SRR8315190	0.06971303117681954
14	SRR8315191	0.0636572402400689
15	SRR8315186	0.059754684054903084
15	SRR8315187	0.06855371533413618
15	SRR8315188	0.06964624644410887
15	SRR8315189	0.0654389388251762
15	SRR8315190	0.06926949471341888
15	SRR8315191	0.06354202399856271
16	SRR8315186	0.059886311385804976
16	SRR8315187	0.06842782675820312
16	SRR8315188	0.06963314763472588
16	SRR8315189	0.06545302499789882
16	SRR8315190	0.06961372035721575
16	SRR8315191	0.06376851179487412
17	SRR8315186	0.059807664087929625
17	SRR8315187	0.06830001324006671
17	SRR8315188	0.06976612549835033
17	SRR8315189	0.06563941866761543
17	SRR8315190	0.06974106966853941
17	SRR8315191	0.06382529863568448
18	SRR8315186	0.059760516713837225
18	SRR8315187	0.06846561478598497
18	SRR8315188	0.06995552499705228
18	SRR8315189	0.06550315310066422
18	SRR8315190	0.06975553808911975
18	SRR8315191	0.06371613588269924
19	SRR8315186	0.05997309848051576
19	SRR8315187	0.06840867317815423
19	SRR8315188	0.06997452429836595
19	SRR8315189	0.06561807228593496
19	SRR8315190	0.06971428396815196
19	SRR8315191	0.06388136337064468
20	SRR8315186	0.060249827387839384
20	SRR8315187	0.06839341408574659
20	SRR8315188	0.06987329321813011
20	SRR8315189	0.06588598138282155
20	SRR8315190	0.06986503839374322
20	SRR8315191	0.06414197517748116
21	SRR8315186	0.05994423246056599
21	SRR8315187	0.06880826104282498
21	SRR8315188	0.07003529124472774
21	SRR8315189	0.06574407716470221
21	SRR8315190	0.06992399932999899
21	SRR8315191	0.064188353175645
22	SRR8315186	0.0602515779572834
22	SRR8315187	0.06878705477957851
22	SRR8315188	0.07020072836544693
