group,gs_name,adj_p,NES,status,padj_chip,padj_rna,numDEInCat,numInCat,leadingEdge,genes,gs_url
AR Up - ER Unchanged,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.011677160590916273,1.4663123879287985,ChIP Only,8.736697518767577e-9,0.22035555747840038,18,163,ENSG00000165272; ENSG00000096060; ENSG00000196208; ENSG00000148700; ENSG00000147642; ENSG00000113645; ENSG00000171346; ENSG00000157600; ENSG00000196372; ENSG00000141753; ENSG00000144749; ENSG00000163659; ENSG00000197375; ENSG00000111666; ENSG00000114315; ENSG00000109321; ENSG00000181788; ENSG00000182704,AQP3; FKBP5; GREB1; ADD3; SYBU; WWC1; KRT15; TMEM164; ASB13; IGFBP4; LRIG1; TIPARP; SLC22A5; CHPT1; HES1; AREG; SIAH2; TSKU,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - ER Unchanged,HALLMARK_ANDROGEN_RESPONSE,0.001442070484079844,1.6408122601276336,RNA Only,0.3846727476457514,0.04337071088608686,6,69,ENSG00000096060; ENSG00000127954; ENSG00000076554; ENSG00000125257; ENSG00000138641; ENSG00000134294,FKBP5; STEAP4; TPD52; ABCC4; HERC3; SLC38A2,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - ER Unchanged,HES2_TARGET_GENES,0.011677160590916273,1.346442501459973,Neither,0.999937590215809,0.09023157071390114,22,617,ENSG00000165272; ENSG00000135373; ENSG00000196208; ENSG00000148700; ENSG00000147642; ENSG00000049759; ENSG00000013588; ENSG00000167291; ENSG00000175356; ENSG00000100906; ENSG00000131844; ENSG00000102554; ENSG00000065809; ENSG00000113916; ENSG00000134294; ENSG00000062716; ENSG00000126821; ENSG00000198369; ENSG00000113924; ENSG00000185950; ENSG00000163683; ENSG00000109321,AQP3; EHF; GREB1; ADD3; SYBU; NEDD4L; GPRC5A; TBC1D16; SCUBE2; NFKBIA; MCCC2; KLF5; FAM107B; BCL6; SLC38A2; VMP1; SGPP1; SPRED2; HGD; IRS2; SMIM14; AREG,http://gtrd.biouml.org/
AR Up - ER Unchanged,ZNF596_TARGET_GENES,0.03508992099977914,-1.254446901656334,Neither,0.999937590215809,0.32534546831639644,4,270,ENSG00000171132; ENSG00000107485; ENSG00000148143; ENSG00000168671,PRKCE; GATA3; ZNF462; UGT3A2,http://gtrd.biouml.org/
AR Up - ER Unchanged,REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,0.03508992099977914,1.4644185132252125,Neither,0.999937590215809,0.32202342732044553,3,33,ENSG00000109814; ENSG00000134202; ENSG00000166743,UGDH; GSTM3; ACSM1,https://www.reactome.org/content/detail/R-HSA-156580|https://reactome.org/PathwayBrowser/#/R-HSA-156580
AR Up - ER Undetected,HALLMARK_ANDROGEN_RESPONSE,0.0017387999360018711,1.6408122601276336,RNA Only,0.5643637540308566,0.04337071088608686,18,69,ENSG00000096060; ENSG00000155850; ENSG00000145703; ENSG00000124225; ENSG00000104419; ENSG00000127954; ENSG00000076554; ENSG00000140263; ENSG00000118985; ENSG00000145779; ENSG00000125257; ENSG00000117143; ENSG00000138641; ENSG00000134294; ENSG00000112972; ENSG00000155368; ENSG00000205189; ENSG00000113594,FKBP5; SLC26A2; IQGAP2; PMEPA1; NDRG1; STEAP4; TPD52; SORD; ELL2; TNFAIP8; ABCC4; UAP1; HERC3; SLC38A2; HMGCS1; DBI; ZBTB10; LIFR,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - ER Undetected,HBZ_TARGET_GENES,0.001782703279513789,1.38224860876855,Neither,0.5723275833629855,0.13864137504489635,20,319,ENSG00000165272; ENSG00000164188; ENSG00000099250; ENSG00000196208; ENSG00000111961; ENSG00000138814; ENSG00000131844; ENSG00000085377; ENSG00000134531; ENSG00000171552; ENSG00000065809; ENSG00000018408; ENSG00000134294; ENSG00000126653; ENSG00000239899; ENSG00000103316; ENSG00000118507; ENSG00000069869; ENSG00000115318; ENSG00000079819,AQP3; RANBP3L; NRP1; GREB1; SASH1; PPP3CA; MCCC2; PREP; EMP1; BCL2L1; FAM107B; WWTR1; SLC38A2; NSRP1; RN7SL674P; CRYM; AKAP7; NEDD4; LOXL3; EPB41L2,http://gtrd.biouml.org/
AR Up - ER Up,HALLMARK_ESTROGEN_RESPONSE_LATE,0.030875484031214425,1.3792157857032668,ChIP Only,6.781936628517331e-4,0.3844127321387021,3,136,ENSG00000109814; ENSG00000109321; ENSG00000181788,UGDH; AREG; SIAH2,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - ER Up,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.005069891701535803,1.4663123879287985,ChIP Only,0.013765733784870022,0.22035555747840038,5,163,ENSG00000100003; ENSG00000127663; ENSG00000147642; ENSG00000109321; ENSG00000181788,SEC14L2; KDM4B; SYBU; AREG; SIAH2,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - ER Up,REACTOME_HDMS_DEMETHYLATE_HISTONES,0.046473182260581496,1.4306598045411312,ChIP Only,0.033797727652639664,0.47363850143041586,3,22,ENSG00000127663; ENSG00000158406; ENSG00000150347,KDM4B; H4C8; ARID5B,https://www.reactome.org/content/detail/R-HSA-3214842|https://reactome.org/PathwayBrowser/#/R-HSA-3214842
