group,gs_name,adj_p,NES,status,padj_chip,padj_rna,numDEInCat,numInCat,leadingEdge,genes,gs_url
AR Up - H3K27ac Unchanged,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0063527231468046745,1.4749450919635367,ChIP Only,3.587094653985187e-7,0.1689964044156624,21,177,ENSG00000165272; ENSG00000096060; ENSG00000196208; ENSG00000148700; ENSG00000147642; ENSG00000113645; ENSG00000155850; ENSG00000111816; ENSG00000171346; ENSG00000157600; ENSG00000196372; ENSG00000141753; ENSG00000144749; ENSG00000163659; ENSG00000117394; ENSG00000197375; ENSG00000115641; ENSG00000114315; ENSG00000109321; ENSG00000181788; ENSG00000182704,AQP3; FKBP5; GREB1; ADD3; SYBU; WWC1; SLC26A2; FRK; KRT15; TMEM164; ASB13; IGFBP4; LRIG1; TIPARP; SLC2A1; SLC22A5; FHL2; HES1; AREG; SIAH2; TSKU,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - H3K27ac Unchanged,HES2_TARGET_GENES,8.092160993839263e-5,1.3486260268014867,ChIP Only,0.0010626011756672195,0.10145194072786692,41,883,ENSG00000165272; ENSG00000135373; ENSG00000099250; ENSG00000196208; ENSG00000148700; ENSG00000147642; ENSG00000049759; ENSG00000013588; ENSG00000167291; ENSG00000175356; ENSG00000179094; ENSG00000112297; ENSG00000145703; ENSG00000124225; ENSG00000104419; ENSG00000100906; ENSG00000131844; ENSG00000169926; ENSG00000102554; ENSG00000065809; ENSG00000018408; ENSG00000141582; ENSG00000113916; ENSG00000134294; ENSG00000187678; ENSG00000177337; ENSG00000155368; ENSG00000062716; ENSG00000126821; ENSG00000181031; ENSG00000198369; ENSG00000113924; ENSG00000154240; ENSG00000163683; ENSG00000175449; ENSG00000111799; ENSG00000108669; ENSG00000123297; ENSG00000278709; ENSG00000251432; ENSG00000109321,AQP3; EHF; NRP1; GREB1; ADD3; SYBU; NEDD4L; GPRC5A; TBC1D16; SCUBE2; PER1; CRYBG1; IQGAP2; PMEPA1; NDRG1; NFKBIA; MCCC2; KLF13; KLF5; FAM107B; WWTR1; CBX4; BCL6; SLC38A2; SPRY4; DLGAP1-AS1; DBI; VMP1; SGPP1; RPH3AL; SPRED2; HGD; CEP112; SMIM14; RFESD; COL12A1; CYTH1; TSFM; NKILA; LINC02615; AREG,http://gtrd.biouml.org/
AR Up - H3K27ac Unchanged,HALLMARK_ANDROGEN_RESPONSE,4.548552979629435e-5,1.644204656983295,RNA Only,0.0629404853108158,0.03904566008258179,11,90,ENSG00000096060; ENSG00000155850; ENSG00000145703; ENSG00000124225; ENSG00000104419; ENSG00000076554; ENSG00000118985; ENSG00000117143; ENSG00000134294; ENSG00000112972; ENSG00000155368,FKBP5; SLC26A2; IQGAP2; PMEPA1; NDRG1; TPD52; ELL2; UAP1; SLC38A2; HMGCS1; DBI,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - H3K27ac Unchanged,HBZ_TARGET_GENES,0.02662586890927555,1.3832585004487443,Neither,0.4568426140972737,0.1414746522442344,14,458,ENSG00000165272; ENSG00000099250; ENSG00000196208; ENSG00000131844; ENSG00000134531; ENSG00000171552; ENSG00000065809; ENSG00000018408; ENSG00000134294; ENSG00000126653; ENSG00000239899; ENSG00000103316; ENSG00000232400; ENSG00000115318,AQP3; NRP1; GREB1; MCCC2; EMP1; BCL2L1; FAM107B; WWTR1; SLC38A2; NSRP1; RN7SL674P; CRYM; RAD17P1; LOXL3,http://gtrd.biouml.org/
AR Up - H3K27ac Unchanged,HALLMARK_MTORC1_SIGNALING,0.03576573150680074,1.4717983433144244,Neither,0.514760762312078,0.1689964044156624,9,190,ENSG00000148700; ENSG00000010278; ENSG00000105835; ENSG00000117394; ENSG00000112972; ENSG00000102879; ENSG00000135269; ENSG00000129521; ENSG00000116133,ADD3; CD9; NAMPT; SLC2A1; HMGCS1; CORO1A; TES; EGLN3; DHCR24,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - H3K27ac Undetected,HES2_TARGET_GENES,8.023551056067663e-5,1.3486260268014867,ChIP Only,1.1459938322209523e-5,0.10145194072786692,37,883,ENSG00000196139; ENSG00000135373; ENSG00000099250; ENSG00000099260; ENSG00000148700; ENSG00000147642; ENSG00000049759; ENSG00000167291; ENSG00000175356; ENSG00000211448; ENSG00000112297; ENSG00000145703; ENSG00000104419; ENSG00000100906; ENSG00000169926; ENSG00000163513; ENSG00000139263; ENSG00000104205; ENSG00000102554; ENSG00000018408; ENSG00000113916; ENSG00000134294; ENSG00000155380; ENSG00000062716; ENSG00000198369; ENSG00000143013; ENSG00000113924; ENSG00000069869; ENSG00000154240; ENSG00000185950; ENSG00000163683; ENSG00000175449; ENSG00000111799; ENSG00000152518; ENSG00000123297; ENSG00000185920; ENSG00000109321,AKR1C3; EHF; NRP1; PALMD; ADD3; SYBU; NEDD4L; TBC1D16; SCUBE2; DIO2; CRYBG1; IQGAP2; NDRG1; NFKBIA; KLF13; TGFBR2; LRIG3; SGK3; KLF5; WWTR1; BCL6; SLC38A2; SLC16A1; VMP1; SPRED2; LMO4; HGD; NEDD4; CEP112; IRS2; SMIM14; RFESD; COL12A1; ZFP36L2; TSFM; PTCH1; AREG,http://gtrd.biouml.org/
AR Up - H3K27ac Undetected,ZNF596_TARGET_GENES,0.03682898083074654,-1.270812226230479,ChIP Only,1.7734776834965793e-5,0.294847028456141,20,389,ENSG00000171444; ENSG00000171132; ENSG00000134532; ENSG00000107485; ENSG00000184588; ENSG00000148737; ENSG00000108375; ENSG00000075223; ENSG00000171843; ENSG00000143995; ENSG00000197757; ENSG00000124788; ENSG00000008441; ENSG00000103852; ENSG00000073792; ENSG00000080298; ENSG00000148143; ENSG00000166949; ENSG00000107614; ENSG00000111850,MCC; PRKCE; SOX5; GATA3; PDE4B; TCF7L2; RNF43; SEMA3C; MLLT3; MEIS1; HOXC6; ATXN1; NFIX; TTC23; IGF2BP2; RFX3; ZNF462; SMAD3; TRDMT1; SMIM8,http://gtrd.biouml.org/
AR Up - H3K27ac Undetected,HALLMARK_ANDROGEN_RESPONSE,3.861699730470705e-6,1.644204656983295,Both,9.817477974140251e-5,0.03904566008258179,15,90,ENSG00000096060; ENSG00000155850; ENSG00000145703; ENSG00000104419; ENSG00000127954; ENSG00000076554; ENSG00000140263; ENSG00000118985; ENSG00000145779; ENSG00000125257; ENSG00000117143; ENSG00000138641; ENSG00000134294; ENSG00000205189; ENSG00000113594,FKBP5; SLC26A2; IQGAP2; NDRG1; STEAP4; TPD52; SORD; ELL2; TNFAIP8; ABCC4; UAP1; HERC3; SLC38A2; ZBTB10; LIFR,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - H3K27ac Undetected,HBZ_TARGET_GENES,0.0018488984149072397,1.3832585004487443,ChIP Only,3.713139590581419e-4,0.1414746522442344,10,458,ENSG00000164188; ENSG00000099250; ENSG00000111961; ENSG00000138814; ENSG00000085377; ENSG00000018408; ENSG00000134294; ENSG00000118507; ENSG00000069869; ENSG00000079819,RANBP3L; NRP1; SASH1; PPP3CA; PREP; WWTR1; SLC38A2; AKAP7; NEDD4; EPB41L2,http://gtrd.biouml.org/
AR Up - H3K27ac Undetected,REACTOME_RHOF_GTPASE_CYCLE,2.405751090390313e-4,1.5867785704992248,ChIP Only,0.046678877426830585,0.10145194072786692,3,34,ENSG00000148700; ENSG00000198142; ENSG00000077549,ADD3; SOWAHC; CAPZB,https://www.reactome.org/content/detail/R-HSA-9035034|https://reactome.org/PathwayBrowser/#/R-HSA-9035034
