gene_name,gene_id,RNA_logFC,RNA_FDR,range,dist2Gene,ChIP_logCPM,ChIP_logFC,ChIP_FDR,overlaps_ref,status,region,feature
UGDH,ENSG00000109814,1.5219553586011434,2.3405905788575905e-10,chr4:39545731-39546030,15799,0.3550792980023566,1.4846237045096877,2.9649214623944284e-4,TRUE,Up,Exon (Other Gene),Enhancer
SEC14L2,ENSG00000100003,2.6536480494766477,8.868975627163676e-10,chr22:30804721-30805110,0,1.0589491792908952,1.9516012453861928,6.546928757851479e-9,TRUE,Up,Promoter (-1500/+500),No Feature
AC021148.3,ENSG00000287262,3.3237998599929983,5.416370860236358e-7,chr4:39545731-39546030,0,0.3550792980023566,1.4846237045096877,2.9649214623944284e-4,TRUE,Up,Exon,Enhancer
ZNF652,ENSG00000198740,0.7684627343969108,2.634919054378158e-6,chr17:47468431-47468760,28595,0.9176223562510082,1.6264950128196034,3.6798110044307485e-6,TRUE,Up,Intron (Other Gene),Enhancer
EHF,ENSG00000135373,0.5910503364291367,1.1335385070950072e-5,chr11:34771741-34772130,89136,1.076955305349341,1.2913754638653876,1.1545340225741535e-4,TRUE,Up,Intergenic (<10kb),Enhancer
WWC3,ENSG00000047644,0.5924095115948027,5.434113899862472e-5,chrX:10020031-10020180,0,0.07702495142668392,1.1450084877758167,0.04356920684134961,TRUE,Up,Intron,Enhancer
AL033523.1,ENSG00000228793,2.2137864683363677,6.523905580879097e-5,chr6:3670141-3670410,0,0.33001623115397266,1.4357211327902475,9.586400224870039e-4,TRUE,Up,Intron,Enhancer
KDM4B,ENSG00000127663,0.7385571562163513,1.019525657750917e-4,chr19:4991551-4992420,0,2.4765660427927023,1.097456251180931,1.4540347214802921e-5,TRUE,Up,Intron,Enhancer
SYBU,ENSG00000147642,0.8407098845888896,1.9400293929134035e-4,chr8:110605471-110605830,0,0.6363685212333154,1.2064597589209947,0.0029523285255291425,TRUE,Up,Intron,No Feature
CSRNP1,ENSG00000144655,0.7242904542125613,3.326452012648099e-4,chr3:39172051-39172380,10965,0.39957248329160683,1.4460318490019923,4.6718852056225937e-4,TRUE,Up,Promoter (Other Gene),Enhancer
SASH1,ENSG00000111961,0.8360224990078077,6.769428571458748e-4,chr6:148579861-148580340,13099,0.9942816588997573,1.6268388918626724,2.514220394158204e-6,TRUE,Up,Intron (Other Gene),Enhancer
TBC1D16,ENSG00000167291,0.4807400054326398,0.00114284005053841,chr17:78076771-78077040,67099,0.8062605182808957,1.3178141175638354,4.802375472981013e-4,TRUE,Up,Intron (Other Gene),Enhancer
PDE10A,ENSG00000112541,1.3072798346479195,0.01678920269945393,chr6:165980761-165981090,0,0.65727512541572,1.3653490924369334,5.059860567473333e-4,TRUE,Up,Intron,Enhancer
