de,logFC,range,region,feature,ER_logFC,H3K27ac_logFC,ER_status,H3K27ac_status
CSRNP1,0.7242904542125613,chr3:39171601-39173080,Promoter (-1500/+500),Enhancer,1.4460318490019923,1.0963349903836659,ER Up,H3K27ac Up
AL033523.1,2.2137864683363677,chr6:3669761-3670410,Intron,Enhancer,1.4357211327902475,1.464091823319841,ER Up,H3K27ac Up
SASH1,0.8360224990078077,chr6:148579321-148580340,Intron,Enhancer,1.6268388918626724,0.9365478329972974,ER Up,H3K27ac Up
SYBU,0.8407098845888896,chr8:110604401-110607080,Intron,No Feature,1.2064597589209947,0.392033145984091,ER Up,H3K27ac Unchanged
EHF,0.5910503364291367,chr11:34771481-34772130,Intergenic (<10kb),Enhancer,1.2913754638653876,1.2612580737876307,ER Up,H3K27ac Up
PTPRJ,0.601234639862719,chr11:48063041-48064280,Upstream Promoter (-5kb),Enhancer,-0.22297294817586344,1.008135615329401,ER Unchanged,H3K27ac Up
HSD11B2,1.1383035024697568,chr16:67492761-67497800,Upstream Promoter (-5kb),Enhancer,0.9986497281057022,0.6765357865234866,ER Up,H3K27ac Up
ZNF652,0.7684627343969108,chr17:47466041-47470360,Intron,Enhancer,1.6264950128196034,0.5972958298743587,ER Up,H3K27ac Up
KDM4B,0.7385571562163513,chr19:4989881-4993440,Intron,Enhancer,1.097456251180931,1.2579692706560517,ER Up,H3K27ac Up
SEC14L2,2.6536480494766477,chr22:30804321-30805110,Promoter (-1500/+500),No Feature,1.9516012453861928,1.5319085997330375,ER Up,H3K27ac Up
WWC3,0.5924095115948027,chrX:10017441-10023240,Intron,Enhancer,1.1450084877758167,0.536696937345828,ER Up,H3K27ac Up
