gene_name,gene_id,RNA_logFC,RNA_FDR,range,dist2Gene,ChIP_logCPM,ChIP_logFC,ChIP_FDR,overlaps_ref,status,region,feature
AQP3,ENSG00000165272,2.3694217784228075,1.1692892572145723e-11,chr9:33415521-33416000,25153,0.6573294105497799,0.9423593893350029,0.005392070354293555,FALSE,Up,Intergenic (<10kb),Enhancer
AQP3,ENSG00000165272,2.3694217784228075,1.1692892572145723e-11,chr9:33431161-33431880,9273,0.8799203049140294,3.487795277246745,2.4906357448954883e-10,FALSE,Up,Intergenic (<10kb),Enhancer
AQP3,ENSG00000165272,2.3694217784228075,1.1692892572145723e-11,chr9:33437241-33437760,3393,0.5586056590874511,3.7228951723466155,2.124339061838516e-8,FALSE,Up,Intergenic (<10kb),No Feature
UGDH,ENSG00000109814,1.5219553586011434,2.3405905788575905e-10,chr4:39540961-39541400,11029,0.49243145140142747,1.4633535521546923,7.001197293880173e-5,FALSE,Up,Exon (Other Gene),Enhancer
UGDH,ENSG00000109814,1.5219553586011434,2.3405905788575905e-10,chr4:39545521-39546160,15589,1.7700925698670829,2.3553647376246776,4.869113131803698e-10,FALSE,Up,Exon (Other Gene),Enhancer
UGDH,ENSG00000109814,1.5219553586011434,2.3405905788575905e-10,chr4:39614641-39615040,84709,0.04763252123019053,1.0584530468140734,0.008945738315914864,FALSE,Up,Promoter (Other Gene),Enhancer
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35569401-35570160,0,1.6180542072365223,2.9486242589718197,8.466733321328879e-11,FALSE,Up,Intron,Enhancer
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35607921-35608280,0,-0.6330192821588678,2.881645763229644,1.0205293156344562e-6,FALSE,Up,Intron,No Feature
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35690161-35690680,0,0.09967943472820444,4.771776462558774,1.5339363361290102e-10,FALSE,Up,Intron,No Feature
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35694441-35694920,0,-0.15448033586531842,2.410559422349444,8.576325859835058e-7,FALSE,Up,Intron,Enhancer
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35695641-35696160,0,0.9662353848419671,3.092774965870992,1.5124246355937406e-9,FALSE,Up,Promoter (-1500/+500),Enhancer
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35699641-35700040,3280,-0.19428288001863925,2.2605492483497436,3.0486226739172443e-5,FALSE,Up,Upstream Promoter (-5kb),No Feature
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35746281-35746440,49920,-0.5416106128876005,2.621068691427548,1.0780206806645149e-6,FALSE,Up,Upstream Promoter (Other Gene),No Feature
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35750121-35750640,53760,1.541992645475299,2.090179557278501,3.0305825069607474e-8,TRUE,Up,Upstream Promoter (Other Gene),Enhancer
SEC14L2,ENSG00000100003,2.6536480494766477,8.868975627163676e-10,chr22:30804721-30805120,0,0.2921812263689372,2.6134488559647813,7.480864860478606e-8,FALSE,Up,Promoter (-1500/+500),No Feature
SEC14L2,ENSG00000100003,2.6536480494766477,8.868975627163676e-10,chr22:30813001-30813320,0,-0.19594429477169273,2.9890704288075365,1.446181320037292e-7,FALSE,Up,Upstream Promoter (-5kb),No Feature
CLDN8,ENSG00000156284,2.3065343996414724,1.0136182494639091e-9,chr21:31572321-31572720,13603,-0.05714548918629431,1.670562924127701,2.7562269770927967e-4,FALSE,Up,Intergenic (<10kb),No Feature
CLDN8,ENSG00000156284,2.3065343996414724,1.0136182494639091e-9,chr21:31588361-31589120,0,0.02201959613402012,1.8257671420835113,4.182196954628368e-5,FALSE,Up,Promoter (-1500/+500),No Feature
CLDN8,ENSG00000156284,2.3065343996414724,1.0136182494639091e-9,chr21:31598801-31599760,10385,0.22268347702164162,3.5018328179152425,3.2105986738086284e-9,FALSE,Up,Intergenic (>10kb),No Feature
CLDN8,ENSG00000156284,2.3065343996414724,1.0136182494639091e-9,chr21:31616601-31616840,28185,-0.7706874097585491,2.3865385379109747,7.731874995739834e-6,FALSE,Up,Intergenic (>10kb),No Feature
EAF2,ENSG00000145088,1.8688428485904336,1.1899697590641069e-7,chr3:121556161-121556720,0,0.5110433802558718,1.9879965501464405,1.8889559593768823e-5,FALSE,Up,Upstream Promoter (-5kb),No Feature
STEAP2,ENSG00000157214,1.3771052393748895,2.248263980419657e-7,chr7:89696481-89696920,99983,1.0444327265130768,1.9807088986464547,4.990590316247818e-7,FALSE,Up,Intron (Other Gene),No Feature
STEAP2,ENSG00000157214,1.3771052393748895,2.248263980419657e-7,chr7:89860441-89861120,0,1.826511514087724,3.231970548046119,3.816071421499327e-11,FALSE,Up,Intron,Enhancer
