gene_name,gene_id,RNA_logFC,RNA_FDR,range,dist2Gene,ChIP_logCPM,ChIP_logFC,ChIP_FDR,overlaps_ref,status,region,feature
AQP3,ENSG00000165272,2.3694217784228075,1.1692892572145723e-11,chr9:33430521-33432480,8673,1.4515334676522456,1.398232812006762,2.111894905484284e-6,TRUE,Up,Intergenic (<10kb),Enhancer
AQP3,ENSG00000165272,2.3694217784228075,1.1692892572145723e-11,chr9:33436761-33437720,3433,0.7008925012065808,1.6022600352068432,1.913151846203984e-5,TRUE,Up,Intergenic (<10kb),No Feature
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35694801-35695960,0,1.4255566904299664,1.1453730654931231,2.1485947874407596e-4,TRUE,Up,Intron,Enhancer
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35696041-35696400,0,0.5820349934362066,1.3616251077702441,4.953289449874516e-4,TRUE,Up,Promoter (-1500/+500),Enhancer
FKBP5,ENSG00000096060,1.9989916696075092,6.507842355925072e-10,chr6:35699321-35700240,2960,0.9229714707428199,0.8860515458530656,0.04758231836065902,TRUE,Up,Upstream Promoter (-5kb),No Feature
SEC14L2,ENSG00000100003,2.6536480494766477,8.868975627163676e-10,chr22:30804321-30804760,0,0.4731004558872729,1.5319085997330375,2.1485947874407596e-4,TRUE,Up,Promoter (-1500/+500),No Feature
RANBP3L,ENSG00000164188,4.405700185378267,3.144994324234267e-7,chr5:36285601-36286000,0,0.6060950421624113,1.8235971809008957,6.982476274373065e-7,TRUE,Up,Intron,No Feature
RANBP3L,ENSG00000164188,4.405700185378267,3.144994324234267e-7,chr5:36286321-36286680,0,0.45572846867665506,1.5550041485524164,1.1220227513917545e-4,TRUE,Up,Intron,No Feature
HSD11B2,ENSG00000176387,1.1383035024697568,3.144994324234267e-7,chr16:67492761-67497800,21304,2.909198477535903,0.6765357865234866,0.006210123730631914,TRUE,Up,Upstream Promoter (Other Gene),Enhancer
ZNF652,ENSG00000198740,0.7684627343969108,2.634919054378158e-6,chr17:47466041-47470360,26205,3.9022823595582246,0.5972958298743587,1.536272017033388e-4,TRUE,Up,Intron (Other Gene),Enhancer
ZNF689,ENSG00000156853,1.2120804850051532,3.307449588121747e-6,chr16:30626521-30627200,0,1.007492354024353,1.275724969367627,2.0491133311862703e-4,TRUE,Up,Promoter (-1500/+500),No Feature
