de,logFC,range,region,feature,AR_logFC,H3K27ac_logFC,AR_status,H3K27ac_status
TENT5C,0.4533614422179917,chr1:118131481-118136000,Intergenic (<10kb),Enhancer,1.2023783166760327,0.10190281863332103,AR Up,H3K27ac Unchanged
TENT5C,0.4533614422179917,chr1:118131481-118136000,Intergenic (<10kb),Enhancer,0.9725672480066496,0.10190281863332103,AR Up,H3K27ac Unchanged
TENT5C,0.4533614422179917,chr1:118173881-118176160,Intergenic (<10kb),Enhancer,0.8892464642781732,0.06937546163381322,AR Up,H3K27ac Unchanged
PRKAB2,0.4776862698939684,chr1:146580841-146582200,Intron,Enhancer,3.334081280432078,2.145667016701794,AR Up,H3K27ac Up
PRKAB2,0.4776862698939684,chr1:146585001-146587320,Intron,Enhancer,0.981905561900617,0.7558995811765076,AR Up,H3K27ac Up
GLUL,0.4960325874225104,chr1:182308401-182312000,Intergenic (<10kb),Enhancer,0.8274566542985496,-0.06694674947125724,AR Up,H3K27ac Unchanged
GLUL,0.4960325874225104,chr1:182353721-182355360,Exon,Enhancer,2.7307871275114537,0.8391890453916864,AR Up,H3K27ac Unchanged
GLUL,0.4960325874225104,chr1:182353721-182355360,Exon,Enhancer,2.7307871275114537,0.7779060104115778,AR Up,H3K27ac Up
GREB1,0.6724891040487763,chr2:11644921-11647080,Intron,Enhancer,1.0198301723332,0.38346434164929455,AR Up,H3K27ac Unchanged
GREB1,0.6724891040487763,chr2:11680201-11687720,Promoter (-1500/+500),No Feature,2.8990838953524936,0.14083671308550716,AR Up,H3K27ac Unchanged
GREB1,0.6724891040487763,chr2:11710961-11711760,Intron,Enhancer,2.776382790082084,0.4923209946329507,AR Up,H3K27ac Unchanged
IL1R1,-0.5209047133597552,chr2:102737841-102744000,Intron,Enhancer,0.7531779303208229,-0.3432338551893991,AR Up,H3K27ac Unchanged
CSRNP1,0.7242904542125613,chr3:39171601-39173000,Promoter (-1500/+500),Enhancer,3.8801995508243934,0.840974032031995,AR Up,H3K27ac Unchanged
CSRNP1,0.7242904542125613,chr3:39171601-39173000,Promoter (-1500/+500),Enhancer,3.8801995508243934,1.0963298947712854,AR Up,H3K27ac Up
CSRNP1,0.7242904542125613,chr3:39181761-39184600,Intergenic (<10kb),Enhancer,2.452281083708599,0.28689043619311694,AR Up,H3K27ac Unchanged
ARHGEF26,0.8654174109587386,chr3:153843481-153845320,Intron,Enhancer,2.7628694569374277,0.5816670728157605,AR Up,H3K27ac Unchanged
ARHGEF26,0.8654174109587386,chr3:153843481-153845320,Intron,Enhancer,2.7628694569374277,0.23049721560655392,AR Up,H3K27ac Unchanged
ARHGEF26,0.8654174109587386,chr3:153935241-153937640,Intron,Enhancer,1.5976227579265645,0.5781385700905065,AR Up,H3K27ac Unchanged
